date,spx,dax
16/07/2001,1202.449951,5853.759766
17/07/2001,1214.439941,5846.660156
18/07/2001,1207.709961,5728.370117
19/07/2001,1215.02002,5829.689941
20/07/2001,1210.849976,5764.060059
23/07/2001,1191.030029,5791.72998
24/07/2001,1171.650024,5663.259766
25/07/2001,1190.48999,5582.759766
26/07/2001,1202.930054,5675.759766
27/07/2001,1205.819946,5754.859863
30/07/2001,1204.52002,5792.189941
31/07/2001,1211.22998,5861.189941
01/08/2001,1215.930054,5835.22998
02/08/2001,1220.75,5777.279785
03/08/2001,1214.349976,5735.879883
06/08/2001,1200.47998,5746.040039
07/08/2001,1204.400024,5752.509766
08/08/2001,1183.530029,5614.509766
09/08/2001,1183.430054,5512.279785
10/08/2001,1190.160034,5433.490234
13/08/2001,1191.290039,5453.77002
14/08/2001,1186.72998,5520.709961
15/08/2001,1178.02002,5455.439941
16/08/2001,1181.660034,5361.919922
17/08/2001,1161.969971,5222.120117
20/08/2001,1171.410034,5207.830078
21/08/2001,1157.26001,5216.109863
22/08/2001,1165.310059,5220.209961
23/08/2001,1162.089966,5254.040039
24/08/2001,1184.930054,5387.5
27/08/2001,1179.209961,5406.470215
28/08/2001,1161.51001,5308.779785
29/08/2001,1148.560059,5305
30/08/2001,1129.030029,5162.399902
31/08/2001,1133.579956,5188.169922
04/09/2001,1132.939941,5208.100098
05/09/2001,1131.73999,5048.080078
06/09/2001,1106.400024,4875.370117
07/09/2001,1085.780029,4730.669922
10/09/2001,1092.540039,4670.129883
17/09/2001,1038.77002,4234.549805
18/09/2001,1032.73999,4194.850098
19/09/2001,1016.099976,4041.800049
20/09/2001,984.539978,3809.669922
21/09/2001,965.799988,3787.22998
24/09/2001,1003.450012,4038.689941
25/09/2001,1012.27002,4009.120117
26/09/2001,1007.039978,4095.320068
27/09/2001,1018.609985,4184.5
28/09/2001,1040.939941,4308.149902
01/10/2001,1038.550049,4239.970215
02/10/2001,1051.329956,4304.200195
03/10/2001,1072.280029,4436.660156
04/10/2001,1069.630005,4548.129883
05/10/2001,1071.380005,4487.689941
08/10/2001,1062.439941,4495.149902
09/10/2001,1056.75,4472.419922
10/10/2001,1080.98999,4613.189941
11/10/2001,1097.430054,4718.459961
12/10/2001,1091.650024,4625.129883
15/10/2001,1089.97998,4548.47998
16/10/2001,1097.540039,4626.47998
17/10/2001,1077.089966,4644.819824
18/10/2001,1068.609985,4574.370117
19/10/2001,1073.47998,4513.529785
22/10/2001,1089.900024,4619.319824
23/10/2001,1084.780029,4704.220215
24/10/2001,1085.199951,4811.819824
25/10/2001,1100.089966,4715.600098
26/10/2001,1104.609985,4820.259766
29/10/2001,1078.300049,4660.350098
30/10/2001,1059.790039,4543.97998
31/10/2001,1059.780029,4559.129883
01/11/2001,1084.099976,4636.129883
02/11/2001,1087.199951,4583.310059
05/11/2001,1102.839966,4755.109863
06/11/2001,1118.859985,4707.649902
07/11/2001,1115.800049,4860.660156
08/11/2001,1118.540039,4993.569824
09/11/2001,1120.310059,4910.069824
12/11/2001,1118.329956,4820.370117
13/11/2001,1139.089966,4946.970215
14/11/2001,1141.209961,4953.529785
15/11/2001,1142.23999,5006.330078
16/11/2001,1138.650024,5062.640137
19/11/2001,1151.060059,5185.100098
20/11/2001,1142.660034,5096.180176
21/11/2001,1137.030029,5087.029785
23/11/2001,1150.339966,5150.970215
26/11/2001,1157.420044,5114.120117
27/11/2001,1149.5,5059.569824
28/11/2001,1128.52002,4915.950195
29/11/2001,1140.199951,4936.080078
30/11/2001,1139.449951,4989.910156
03/12/2001,1129.900024,4988.439941
04/12/2001,1144.800049,5013.990234
05/12/2001,1170.349976,5262.75
06/12/2001,1167.099976,5271.290039
07/12/2001,1158.310059,5199.029785
10/12/2001,1139.930054,5124.680176
11/12/2001,1136.76001,5146.450195
12/12/2001,1137.069946,5062.560059
13/12/2001,1119.380005,4966.049805
14/12/2001,1123.089966,4909.419922
17/12/2001,1134.359985,5067.990234
18/12/2001,1142.920044,5039.640137
19/12/2001,1149.560059,4984.689941
20/12/2001,1139.930054,4934.140137
21/12/2001,1144.890015,5019.009766
24/12/2001,1144.650024,null
26/12/2001,1149.369995,null
27/12/2001,1157.130005,5117.129883
28/12/2001,1161.02002,5160.100098
31/12/2001,1148.079956,null
02/01/2002,1154.670044,5167.879883
03/01/2002,1165.27002,5270.290039
04/01/2002,1172.51001,5318.72998
07/01/2002,1164.890015,5232.220215
08/01/2002,1160.709961,5236.370117
09/01/2002,1155.140015,5288.209961
10/01/2002,1156.550049,5228.109863
